Bogennummer	Ort	Wenkersatz	Original	Alignment
10866	Engelbach	WS01	Im Wönder fligö dö trokönö Blärer i derr Loft rim.	im wönder fligö dö trokönö blärer i derr loft rim
10868	Ernsthausen	WS01	Im Wender fligge de trockele Blerre<(r)> dörch de Loft rimm.	im wender fligge de trockele blerre dörch de loft rimm
10869	Münchhausen	WS01	Em Wenter fligge di trockene Blärrer dörch die Loft herim	em wenter fligge di trockene blärrer dörch die loft herim
10877	Bracht	WS01	Em Wenter flige die trockele Blärrer derch die Loft rim.	em wenter flige die trockele blärrer derch die loft rim
10879	Wohra	WS01	Em Wenter fligge die trockele Blärrer in derr Loft rimm.	em wenter fligge die trockele blärrer in derr loft rimm
10886	Gilserberg	WS01	Em Wenter flien die trucken Blärrer dorch die Loft remm.	em wenter flien die trucken blärrer dorch die loft remm
10919	Hülsa	WS01	Im Wengter fliehn die trocknen Blärrer dorch die Loft rem.	im wengter fliehn die trocknen blärrer dorch die loft rem
10940	Weiterode	WS01	Im Wenter fliehen die trockenen Blätter derch derch die Luft umher.	im wenter fliehen die trockenen blätter derch derch die luft umher
10943	Ronshausen	WS01	Im Weinter fliehen de trocken Blätter derh die Loft rem.	im weinter fliehen de trocken blätter derh die loft rem
10947	Bosserode	WS01	Im Wänter flien de trokne Blätter in de Luft rem.	im wänter flien de trokne blätter in de luft rem
11038	Rudolstadt	WS01	Im Winter fliegen dĕ trocknen Blätter dorch dĕ Luft rom̄.	im winter fliegen dĕ trocknen blätter dorch dĕ luft rom̄
11130	Gräfenhain	WS01	In Wejnter flöjn de trockne Blätter dorch de Loft heröm.	in wejnter flöjn de trockne blätter dorch de loft heröm
11400	Untermhaus	WS01	Im Winter fliegen de truck'nen Blätter dorch de Luft rim.	im winter fliegen de trucknen blätter dorch de luft rim
11492	Erfurt	WS01	I Wintĕr fliechĕn dĕ trocknĕn Blätter dorch dĕ Loft r[ĕ]m.	i wintĕr fliechĕn dĕ trocknĕn blätter dorch dĕ loft rĕm
11618	Stadtlauringen	WS01	Im Winter fliege die truckene Blä͡iter in der Luft rümm.	im winter fliege die truckene blä͡iter in der luft rümm
11855	Hof	WS01	In̮ Win̮tär̮ fli͡eng die tru̮kn̮a Blä̮ttä̮r in̮ de̮r Lu̮ft run̮n[e].	in̮ win̮tär̮ fli͡eng die tru̮kn̮a blä̮ttä̮r in̮ de̮r lu̮ft run̮ne
12037	Hildburgshausen	WS01	Im Wint'r fliehn die trocknen Bletter in dr Luft rümm.	im wintr fliehn die trocknen bletter in dr luft rümm
12429	Reichenbach	WS01	Ne Winter flieng de druckene Blettr in dr Luft rimm.	ne winter flieng de druckene blettr in dr luft rimm
12949	Freiberg	WS01	In' Winter fliegen de trucken Blätter dörch de Luft rim.	in winter fliegen de trucken blätter dörch de luft rim
13082	Rodewisch	WS01	Ne Winter flieng de druck'n Bletter in d'r Luft rim.	ne winter flieng de druckn bletter in dr luft rim
13275	Ernstthal	WS01	In Winter flieg'n die trigen Blätter dorch de Luft rim.	in winter fliegn die trigen blätter dorch de luft rim
13296	Chemnitz	WS01	In Winter fliegen de trocken Blätter in der Luft rum.	in winter fliegen de trocken blätter in der luft rum
13448	Ölsnitz	WS01	Im Winder flieng de treing Blätter dorch de Luft rimm.	im winder flieng de treing blätter dorch de luft rimm
14559	Kostenthal	WS01	Im Winter flign die traigna Blähter durh da Luft herrum.	im winter flign die traigna blähter durh da luft herrum
14580	Oberemmel	WS01	Em Wenter fleuen de tröcken Blädder durch de Lofft eremm!	em wenter fleuen de tröcken blädder durch de lofft eremm
14591	Kell	WS01	Eamm Weannder flëin dëi trecken Blädder durch de Loft erem.	eamm weannder flëin dëi trecken blädder durch de loft erem
14647	Lauterecken	WS01	Im Winder flieje die druckene Blerrer in de Luft erum.	im winder flieje die druckene blerrer in de luft erum
14693	Dannenfels	WS01	Im Winder - auch mit unter Wender - fliehn die truckene Blärer en der Luft erum.	im winder   auch mit unter wender   fliehn die truckene blärer en der luft erum
14724	Monsheim	WS01	Em Winter fliehen die truckne Blärer dorch die Luft rum.	em winter fliehen die truckne blärer dorch die luft rum
14746	Liersberg	WS01	Am Wanter flöihen dö tröcken Blödder an der Loft röm.	am wanter flöihen dö tröcken blödder an der loft röm
14787	Damflos	WS01	Im Winder fliehe die droggene Blädder durch die Luft erom.	im winder fliehe die droggene blädder durch die luft erom
14788	Hilscheid	WS01	Eăm Wĕnda fle⃰{e mit einem Asterisk oben}je deï trocke Blerra durch die L[o]ft 'erem.	eăm wĕnda fle⃰je deï trocke blerra durch die loft erem
14804	Niederbrombach	WS01	Im Winder <(i faßt e)> flie-ä die drokcknä Blärer durch die Louft erim.	im winder flie ä die drokcknä blärer durch die louft erim
14824	Oberreidenbach	WS01	Em Winder fahre die trockene Blärrer in der Luft erum.	em winder fahre die trockene blärrer in der luft erum
14834	Lauschied	WS01	Im Winder flieha d'druckene Blärrer in der Loft erum.	im winder flieha ddruckene blärrer in der loft erum
14842	Cappeln	WS01	Im Winder fliee die truckne, Blerrer in der Lufd erum.	im winder fliee die truckne blerrer in der lufd erum
14844	Breitenheim	WS01	Im Winder fliehe die trockene Blärer <(in) der> dorch die Luft 'erum	im winder fliehe die trockene blärer dorch die luft erum
14910	Osthofen	WS01	Jm Winter fliehe die druckne Blärrer in dr Luft erum.	jm winter fliehe die druckne blärrer in dr luft erum
14924	Sirzenich	WS01	Amm Wanter flegen de trecken Bleder dorch de Lofft eremm.	amm wanter flegen de trecken bleder dorch de lofft eremm
14930	Trier	WS01	Öm Wönder fliehen de drockene Bläder dorsch de Loft erom.	öm wönder fliehen de drockene bläder dorsch de loft erom
14933	Schweich	WS01	Amm Wander fliehen de trecken Bleder dorch de Lofft erromm.	amm wander fliehen de trecken bleder dorch de lofft erromm
14937	Kenn	WS01	Em Wanter fleen die tröcken Bläder durch Loft heom.	em wanter fleen die tröcken bläder durch loft heom
14943	Mertesdorf	WS01	Amm Wander flijen de trecke Bleeder dorch de Loft eromm.	amm wander flijen de trecke bleeder dorch de loft eromm
14953	Horath	WS01	Im Winder fliehen di drocknen Bläder durch di Loft erum.	im winder fliehen di drocknen bläder durch di loft erum
14955	Bescheid	WS01	Em Wenter flöien döi tröcken Blädder dorch döi Loft erim.	em wenter flöien döi tröcken blädder dorch döi loft erim
14959	Haag	WS01	Aem Wänter flöüen döü trock'n Blärra darch dä Loft erem.	aem wänter flöüen döü trockn blärra darch dä loft erem
14960	Merscheid	WS01	O<(o-u)> m Wu<(o-u)>nder fleeîjen d' droike Blätter dorch d' Lu<(o-u)>ft erom.	o m wunder fleeîjen d droike blätter dorch d luft erom
14973	Sensweiler	WS01	Em Winder fahre die droggene Blierer en der Luft eremm.	em winder fahre die droggene blierer en der luft eremm
14988	Wickenrodt	WS01	Em Wender fahre die trockne Blieerer durch die Loft erem.	em wender fahre die trockne blieerer durch die loft erem
15012	Meckenbach	WS01	Im Winder fliehe die druckene Blärrer in d'r Luft erumm.	im winder fliehe die druckene blärrer in dr luft erumm
15016	Kirschroth	WS01	Im Winder fliee die truckene Blätr in der Luft h'rum.	im winder fliee die truckene blätr in der luft hrum
15029	Hüffelsheim	WS01	Im Winder flien die träkene Bleder dar[c]h die Luft herom.	im winder flien die träkene bleder darch die luft herom
15040	Fürfeld	WS01	Im Winter fliehe die trockene Blärrer dorch die Luft erum.	im winter fliehe die trockene blärrer dorch die luft erum
15042	Neu-Bamberg	WS01	Im Winder flieje die drockene Blerrer dorch die Luft.	im winder flieje die drockene blerrer dorch die luft
15046	Wonsheim	WS01	Im Winter fliehen die trockne Blärer dorch die Luft herum.	im winter fliehen die trockne blärer dorch die luft herum
15050	Wendelsheim	WS01	Em Wender fliehen die drockene Bläer en der Luft erum.	em wender fliehen die drockene bläer en der luft erum
15052	Flonheim	WS01	Em Winder fliehen die druckene Blärre dorch die Luft erum.	em winder fliehen die druckene blärre dorch die luft erum
15066	Bechtolsheim	WS01	Em Winter fliehn die truckne Blärrer dorch die Luft erimm.	em winter fliehn die truckne blärrer dorch die luft erimm
15097	Eisenach	WS01	Am Wanter flegen de trechen Bleder an der Lugt erom.	am wanter flegen de trechen bleder an der lugt erom
15118	Pohlbach	WS01	Amm Wander flaugen de trecken Bläder de Loft rumm.	amm wander flaugen de trecken bläder de loft rumm
15152	Stipshausen	WS01	Im Winda fahre die trockene Bliera in der Luft erum.	im winda fahre die trockene bliera in der luft erum
15154	Lindenschied	WS01	Im Winder fliehe die druckene Bliere in dr. Luft herim.	im winder fliehe die druckene bliere in dr luft herim
15162	Gemünden	WS01	Im Winter fliee die truckene Bliere in de Luft erüm.	im winter fliee die truckene bliere in de luft erüm
15180	Münchwald	WS01	Im Winter fliehe die trockene Blärrer darch die Luft herum.	im winter fliehe die trockene blärrer darch die luft herum
15184	Windesheim	WS01	Im Winter fliehe die trockene Blärre dorch die Luft erom.	im winter fliehe die trockene blärre dorch die luft erom
15339	Ravengiersberg	WS01	Im Winter fliehe die truckene Blierer dorich die Luft herim.	im winter fliehe die truckene blierer dorich die luft herim
15260	Mettendorf	WS01	Am Wanter flehen de dreche Bleeder durch d'Lucht erom.	am wanter flehen de dreche bleeder durch dlucht erom
15270	Messerich	WS01	Amm Wanter flegen de tröchenen Blädder durch de Lofft.	amm wanter flegen de tröchenen blädder durch de lofft
15274	Moetsch	WS01	Amm Wanter flehen trochen Bläder an der Loft herum.	amm wanter flehen trochen bläder an der loft herum
